날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 02월 08일,374.25,376.5,381.75,374,340.78K,-0.60%
2019년 02월 07일,376.5,379.75,380.25,376.25,259.74K,-0.92%
2019년 02월 06일,380,380.5,380.75,379,145.15K,-0.20%
2019년 02월 05일,380.75,379.5,381.25,377,171.95K,0.40%
2019년 02월 04일,379.25,377.75,379.75,376.5,145.83K,0.26%
2019년 02월 01일,378.25,376.5,380.75,376.5,151.47K,0.46%
2019년 01월 31일,376.5,381,381.5,375.75,205.75K,-1.25%
2019년 01월 30일,381.25,377.75,381.5,377.5,198.90K,1.06%
2019년 01월 29일,377.25,379.75,380.75,376,187.02K,-0.66%
2019년 01월 28일,379.75,379.5,381,378,102.14K,-0.13%
2019년 01월 25일,380.25,377,380.5,376,134.09K,0.86%
2019년 01월 24일,377,378.75,379.75,375.75,124.11K,-0.46%
2019년 01월 23일,378.75,379.5,381.75,378,127.61K,-0.07%
2019년 01월 22일,379,380.75,382.25,376.75,211.43K,-0.39%
2019년 01월 20일,380.5,380.5,380.5,380.5,-,-0.33%
2019년 01월 18일,381.75,379.75,383,377.75,191.03K,0.46%
2019년 01월 17일,380,374,381.5,373.75,207.63K,1.60%
2019년 01월 16일,374,372.75,375,372.5,164.72K,0.74%
2019년 01월 15일,371.25,379.5,381,371,251.26K,-1.92%
2019년 01월 14일,378.5,378.5,381,377,144.74K,0.07%
2019년 01월 11일,378.25,377,379.25,376.75,131.82K,0.53%
2019년 01월 10일,376.25,381.5,382.75,376,181.39K,-1.51%
2019년 01월 09일,382,380.5,383.5,380.5,192.06K,0.53%
2019년 01월 08일,380,382.5,384.5,379,172.29K,-0.59%
